""	"observed"	"chao1"	"diversity_inverse_simpson"	"diversity_gini_simpson"	"diversity_shannon"	"diversity_fisher"	"diversity_coverage"	"evenness_camargo"	"evenness_pielou"	"evenness_simpson"	"evenness_evar"	"evenness_bulla"	"dominance_dbp"	"dominance_dmn"	"dominance_absolute"	"dominance_relative"	"dominance_simpson"	"dominance_core_abundance"	"dominance_gini"	"rarity_log_modulo_skewness"	"rarity_low_abundance"	"rarity_rare_abundance"
"E-10"	650	650	3.96164450985963	0.747579572697341	2.40578870975059	87.2863974838539	2	0.993357063275617	0.371437235634158	0.00609483770747635	0.246714925222655	0.124818132135194	0.445414788760649	0.665741644711326	66610	0.445414788760649	0.252420427302659	0.000708812004333115	0.997120000873107	2.06137351277043	0.0901796102871357	0.914768699931794
"E-2"	1015	1015	14.3731800597438	0.930425974221196	4.25359189499532	161.198391388791	8	0.868126469951777	0.614446151163853	0.0141607685317673	0.302289956775169	0.257025898788407	0.234609042187715	0.291489166781183	20487	0.234609042187715	0.0695740257788035	0.00380193303101095	0.986316635015996	2.06139098662071	0.219802116256699	0.6333081398012
"E-3"	1143	1143	34.607998123334	0.971104945266228	5.22197681044569	179.153454487031	25	0.830427173818487	0.741609361840865	0.0302782135812196	0.360208410324633	0.401276605265984	0.113260480148613	0.207849567335488	11950	0.113260480148613	0.0288950547337716	0.0152214503028178	0.970127946593095	2.06140287571496	0.381758902084182	0.803040498914785
"E-4"	505	505	4.33977614935582	0.769573368398636	2.93211473444181	63.7446055273984	2	0.970804056848157	0.471055861673895	0.00859361613733825	0.285043087256365	0.227404898741106	0.454483896665529	0.594691020826221	79871	0.454483896665529	0.230426631601364	0.00481392966882895	0.994135851925979	2.0612536715085	0.163588255377262	0.295464891316718
"E-5"	1228	1228	36.5691686583871	0.972654560202296	4.84721214304641	199.12200042912	15	0.86421317488838	0.681444580885431	0.0297794533048755	0.295110226085072	0.281017614544606	0.0946274013088453	0.16307789740342	8965	0.0946274013088453	0.0273454397977037	0.01430230103441	0.980872557398143	2.06139124225123	0.258043065231159	0.544711842938569
"E-6"	561	561	3.36569650131373	0.702884677923374	2.03924469305674	79.1118851218203	2	0.957078809712749	0.322169764432661	0.00599945900412429	0.311753176153238	0.107345659558209	0.429183690661724	0.760425003159092	40757	0.429183690661724	0.297115322076626	0.00354871319657976	0.997591088748644	2.06139386269854	0.0736068404869214	0.604271092203361
"E-7"	509	509	5.45673221593834	0.816740136692224	2.7513954679911	70.1158791094222	2	0.989905657440722	0.441463043203033	0.010720495512649	0.22916287496757	0.141206072243861	0.388788481233809	0.529148342269615	38721	0.388788481233809	0.183259863307776	0.0010141173163042	0.997153057800999	2.06132667952975	0.0899050143582947	0.956382914633412
"E-8"	1900	1900	61.6880318881245	0.983789400157658	5.6412757978522	348.113632794535	30	0.856934764488439	0.747227528530841	0.032467385204276	0.392056632297755	0.378320770419048	0.0664961636828645	0.123057249655715	5408	0.0664961636828645	0.0162105998423417	0.0266697816250246	0.954291194281296	2.06141189699519	0.42626155813496	0.811085972850679
"E-9"	1156	1156	4.90028056710754	0.795930052105106	2.9818172403556	178.411017253891	2	0.844277272472934	0.422789618296355	0.00423899703036985	0.340455450521885	0.153814592645328	0.426102538919473	0.524704280926658	49459	0.426102538919473	0.204069947894894	0.00256734985741732	0.992049121107343	2.06140049008557	0.144546966133382	0.846062391770696
"H-1"	2637	2637	68.9709709641735	0.985501146554549	6.25261602084137	493.924012955511	96	0.751334818353894	0.793741368236876	0.0261550894820529	0.39292716460896	0.425648759078692	0.0938757569837859	0.144022269974604	9611	0.0938757569837859	0.0144988534454509	0.0280425864426646	0.924042280962112	2.06142247143842	0.548613010353585	0.69438366868529
"H-10"	547	547	6.98194182628372	0.856773369804447	2.86436616740905	73.0980895936241	3	0.996053667953733	0.454340459757345	0.0127640618396412	0.21633046115054	0.137423853826422	0.319450860821091	0.462510394530167	41489	0.319450860821091	0.143226630195553	0.00101635406079645	0.997129070080737	2.06122444924525	0.0824093750962456	0.883442668391389
"H-2"	1949	1949	61.4156253004401	0.983717498680375	5.72527608445733	336.578390202871	46	0.827189939011189	0.755804870444925	0.0315113521295229	0.319138607313892	0.362846311238039	0.075156195923423	0.147006320698009	8252	0.075156195923423	0.0162825013196248	0.0201734093517186	0.956374525954573	2.06141640151137	0.434525219038598	0.7133463268912
"H-3"	1724	1724	152.546449089268	0.993444619616057	6.23336464076328	347.745759364999	92	0.810968082120646	0.836423513298024	0.0884840191933111	0.408710668213305	0.463172142048262	0.0339562721387566	0.0658971540246733	1668	0.0339562721387566	0.00655538038394333	0.0576116607629982	0.943256815949582	2.06142257719469	0.509099792353731	0.732645250600546
"H-4"	1549	1549	17.8915567892588	0.944107714505853	5.1316420803632	269.469642814404	24	0.874401474357649	0.698623171462776	0.01155039172967	0.341117238115914	0.362687409346501	0.22445225152515	0.267334488570276	18911	0.22445225152515	0.0558922854941472	0.035369240629525	0.966261116152396	2.06141973076293	0.400633797801885	0.532947990599853
"H-5"	1344	1344	22.9970883131621	0.956516234299641	4.75335777009582	227.329832265124	12	0.890194797507629	0.6598764648448	0.0171109288044361	0.317370436357221	0.295261607191809	0.156002292044695	0.255933053194537	13068	0.156002292044695	0.0434837657003589	0.0115915385350014	0.977918578107335	2.06140226595434	0.290170470824181	0.498233215547703
"H-6"	2167	2167	59.0146748469869	0.983055062107979	6.02050336086686	409.565661826856	74	0.771675612418617	0.783807546246006	0.0272333524905339	0.386580559481161	0.417400342884409	0.0981780876100069	0.150622960545832	7943	0.0981780876100069	0.0169449378920209	0.0267353900919608	0.93925863998345	2.06142160572602	0.498875210125581	0.666110451893602
"H-7"	2011	2011	27.0905872846805	0.963086809839464	5.20203326131978	358.428737461182	24	0.670536494227091	0.683903276910968	0.0134712020311688	0.347980939477754	0.299713556843101	0.165015419608004	0.21481921662244	16106	0.165015419608004	0.0369131901605356	0.0203272440396299	0.964388714357824	2.06141844762993	0.315144001721259	0.618761718389804
