#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_3581	0	0	0	0	0	19	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	5	2	11	6	15	0	4	3	0
ASV_3582	0	0	0	0	0	17	0	0	0	0	8	0	0	0	2	8	0	0	0	0	0	0	0	2	5	27	0	0	3	0
ASV_3583	0	0	0	0	0	2	0	0	10	0	8	0	0	0	0	9	0	0	0	0	0	0	2	0	0	41	0	0	0	0
ASV_3584	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	4	2	0	0	8	6	0	0	0	3	31	0	0	10
ASV_3585	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	8	0	8	16	0	0	0	0	0	6	21	0
ASV_3586	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	3	0	20	0	0	3	0	0	0	0	12	0	5	15
ASV_3587	0	0	0	0	0	0	0	0	0	5	0	0	23	0	0	0	0	0	0	26	3	0	14	0	0	0	0	0	0	2
ASV_3588	0	0	0	0	0	0	0	0	0	0	17	0	0	0	5	0	0	0	0	0	2	0	0	0	23	0	3	23	0	0
ASV_3589	0	0	0	0	0	0	0	0	0	0	7	0	0	19	0	0	0	0	0	0	0	0	0	25	6	0	0	15	0	0
ASV_3590	0	0	0	0	0	0	0	0	0	0	0	0	4	4	15	0	0	0	0	0	2	0	4	3	40	0	0	0	0	0
ASV_3591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0
ASV_3592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0
ASV_3593	6	0	0	0	0	0	0	0	0	3	9	0	0	2	0	0	7	0	0	0	11	0	7	0	0	0	13	0	0	14
ASV_3594	5	0	0	0	0	5	2	0	11	0	12	0	2	0	0	0	3	7	10	0	2	0	2	2	3	0	0	0	2	2
ASV_3595	4	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	11	0	0	0	5	12	7	8	14	0
ASV_3596	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	4	0	0	11	0	0	0	0	0	23	4	0	15
ASV_3597	3	0	0	0	0	10	0	0	11	0	0	0	0	0	0	16	0	0	2	0	0	12	0	0	3	13	0	0	0	0
ASV_3598	2	0	0	0	0	8	0	0	0	4	3	0	13	0	0	0	0	3	0	3	0	0	15	0	0	5	5	0	0	11
ASV_3599	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	14	0	6	10	6	6	9
ASV_3600	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	7	7	0	2	0	0	5	2	0	0	17	7	0	8	3
ASV_3601	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	3	6	5	20	5	14	4	0	3	3
ASV_3602	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3603	0	2	0	0	0	0	0	0	6	0	6	0	4	0	0	0	0	0	0	3	13	11	0	0	7	8	0	10	0	2
ASV_3604	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3605	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
