Feature ID	taxonomy
ASV_1099	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Rhodoplanes, uncultured_bacterium
ASV_11	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia, Paraburkholderia_phenazinium
ASV_110	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, uncultured
ASV_1100	Bacteria, Actinobacteriota, Actinobacteria, Micromonosporales, Micromonosporaceae, Micromonospora
ASV_1101	Bacteria, Actinobacteriota, Actinobacteria, Micrococcales, Microbacteriaceae, Agromyces
ASV_1102	Bacteria, Acidobacteriota, Subgroup_5, Subgroup_5, Subgroup_5, Subgroup_5, uncultured_bacterium
ASV_1103	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter, uncultured_Prosthecobacter
ASV_1104	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_1105	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, uncultured, uncultured
ASV_1106	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter, uncultured_Prosthecobacter
ASV_1107	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales
ASV_1108	Bacteria, Actinobacteriota, Thermoleophilia, Gaiellales, Gaiellaceae, Gaiella
ASV_1109	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
ASV_111	Bacteria, Actinobacteriota, Acidimicrobiia, Microtrichales, Ilumatobacteraceae, uncultured
ASV_1110	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Microvirga
ASV_1111	Bacteria, Actinobacteriota, Thermoleophilia, Gaiellales, uncultured, uncultured
ASV_1112	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_1113	Bacteria, Proteobacteria, Alphaproteobacteria, Elsterales, uncultured, uncultured
ASV_1114	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methyloligellaceae, uncultured, metagenome
ASV_1115	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, uncultured, uncultured
ASV_1116	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
ASV_1117	Bacteria
ASV_1118	Bacteria, Entotheonellaeota, Entotheonellia, Entotheonellales, Entotheonellaceae, Entotheonellaceae, uncultured_bacterium
ASV_1119	Bacteria, Methylomirabilota, Methylomirabilia, Rokubacteriales, Rokubacteriales, Rokubacteriales, uncultured_bacterium
ASV_112	Bacteria, Proteobacteria, Alphaproteobacteria, uncultured, uncultured, uncultured, bacterium_enrichment
ASV_1120	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Pedomicrobium
ASV_1121	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Rhodoplanes
ASV_1122	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_1123	Bacteria, Actinobacteriota, Actinobacteria, Micromonosporales, Micromonosporaceae, Virgisporangium
ASV_1124	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_1125	Bacteria, Myxococcota, bacteriap25, bacteriap25, bacteriap25, bacteriap25, metagenome
ASV_1126	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae
ASV_1127	Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, uncultured, uncultured
ASV_1128	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
ASV_1129	Bacteria, Acidobacteriota, Vicinamibacteria, Vicinamibacterales, Vicinamibacteraceae, uncultured, uncultured_bacterium
ASV_113	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
ASV_1130	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, TRA3-20, TRA3-20
ASV_1131	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, alphaI_cluster, uncultured_bacterium
ASV_1132	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Pedosphaerales, Pedosphaeraceae, ADurb.Bin063-1
ASV_1133	Bacteria, Proteobacteria, Alphaproteobacteria, Elsterales, uncultured, uncultured
ASV_1134	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Amb-16S-1323, Amb-16S-1323, uncultured_bacterium
ASV_1135	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
ASV_1136	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, Solirubrobacteraceae, Conexibacter, uncultured_bacterium
ASV_1137	Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Koribacteraceae, Candidatus_Koribacter
ASV_1138	Bacteria, Actinobacteriota, Acidimicrobiia, IMCC26256, IMCC26256, IMCC26256, uncultured_Acidimicrobiia
ASV_1139	Bacteria, Proteobacteria, Alphaproteobacteria, Dongiales, Dongiaceae, Dongia
ASV_114	Bacteria, Acidobacteriota, Acidobacteriae, Subgroup_2, Subgroup_2, Subgroup_2, uncultured_Acidobacteria
ASV_1140	Bacteria, Actinobacteriota, Thermoleophilia, Solirubrobacterales, 67-14, 67-14, uncultured_bacterium
ASV_1141	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Magnetospirillaceae, uncultured
ASV_1142	Bacteria, Proteobacteria, Alphaproteobacteria, Azospirillales, Inquilinaceae, Inquilinus
ASV_1143	Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae, Candidatus_Solibacter, uncultured_Acidobacteriales
ASV_1144	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhodomicrobiaceae, Rhodomicrobium, uncultured_Rhodomicrobium
ASV_1145	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiales_Incertae_Sedis, Bauldia
ASV_1146	Bacteria, Gemmatimonadota, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, uncultured, uncultured_Gemmatimonadales
ASV_1147	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia, Paraburkholderia_tropica
ASV_1148	Bacteria, Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Chthoniobacteraceae, Candidatus_Udaeobacter
ASV_1149	Bacteria, Chloroflexi, Dehalococcoidia, S085, S085, S085, metagenome
ASV_115	Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Acidobacteriaceae_(Subgroup_1)
ASV_1150	Bacteria, Bacteroidota, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Mucilaginibacter
ASV_1151	Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Caballeronia-Paraburkholderia
