Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	Shared
ASV_2959	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_2959	0	0	0	0	0	0	0.0286478227654698	0	0	0	0	0	0	0.018173007026896	0.00514915382238852	0.0358709748627245	Rhizhomorph
ASV_2850	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_2850	0	0.0122028603504661	0	0.01834333481827	0	0.0289217954650625	0	0.0282786974396902	0	0.0361294376374489	0.0215100021510002	0	0.0464792005577504	0.0100961150149422	0.0120146922522399	0.0386302806213957	Rhizhomorph_Soil associated
ASV_3907	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_3907	0	0	0	0.0288252404287099	0	0.0260296159185562	0	0	0	0.0424128180961357	0.0161325016132502	0	0.0298794860728395	0.0100961150149422	0.0085819230373142	0	Rhizhomorph_Soil associated
ASV_5645	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5645	0	0	0.0167434072833822	0	0	0.0260296159185562	0	0.0108764220921886	0	0	0.0295762529576253	0	0.0165997144849109	0	0	0.00551861151734224	Soil associated
ASV_2865	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_2865	0	0.0414897251915849	0	0.0419276224417599	0	0	0	0.0239281286028148	0	0.0219918316054037	0.0215100021510002	0	0.0165997144849109	0	0.0085819230373142	0	Rhizhomorph_Soil associated
ASV_5912	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5912	0	0	0	0	0	0	0	0	0	0.0911090166509582	0	0	0	0	0	0	Rhizhomorph
ASV_3705	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_3705	0	0	0	0	0	0.0202452568255437	0	0	0.0663165630096966	0	0.0430200043020004	0	0.0497991434547326	0	0	0	Non-core
ASV_5012	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5012	0	0	0	0	0.00886184385431129	0.101226284127719	0	0	0	0	0.0322650032265003	0	0.0497991434547326	0	0	0	Non-core
ASV_498	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_498	0	0.119588031434568	0.0586019254918376	0.18081287178009	0.0502171151744306	0.112795002313744	0.0119365928189458	0.115290074177199	0	0.0848256361922714	0.115616261561626	0	0.096278344012483	0.00605766900896535	0.0480587690089595	0.0275930575867112	Core
ASV_5017	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5017	0	0	0	0	0	0	0.0381970970206264	0	0	0.0172792962613886	0.0161325016132502	0	0.0165997144849109	0.0100961150149422	0.0171638460746284	0	Rhizhomorph
ASV_4308	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_4308	0	0.00732171621027969	0	0	0.0472631672229935	0.0173530772790375	0	0	0	0.00785422557335847	0.0215100021510002	0	0	0	0	0	Rhizhomorph
